ticker,name,market,asset_type,sector,industry,source
272450.KS,진에어,,STOCK,Other,Other / Needs review,existing
273060.KQ,와이즈버즈,,STOCK,Communication Services,Advertising / Marketing,existing
274090.KQ,켄코아에어로스페이스,,STOCK,Industrials,Aerospace components,existing
277810.KQ,레인보우로보틱스,,PREFERRED,Preferred Stock,Preferred / Special share,existing
278280.KQ,천보,,STOCK,Materials,Battery materials / Chemicals,existing
285130.KS,SK케미칼,,STOCK,Materials,Chemicals,existing
290650.KQ,엘앤씨바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
293490.KQ,카카오게임즈,,STOCK,Communication Services,Gaming / Contents,existing
295310.KQ,에이치브이엠,,STOCK,Industrials,Semiconductor / Display equipment,existing
297090.KQ,씨에스베어링,,STOCK,Energy,Wind power components,existing
298040.KS,효성중공업,KOSPI,STOCK,Industrials,Power equipment / Heavy industry,builtin
298050.KS,HS효성첨단소재,,STOCK,Materials,Materials,existing
298380.KQ,에이비엘바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
298690.KS,에어부산,,STOCK,Industrials,Airline,existing
300720.KS,한일시멘트,,STOCK,Materials,Cement,existing
